NodeNo	x	y	T	qx	qy
138	0.937500	0.187500	74.597867	2945.265654	-3751.534972
139	0.937500	0.312500	77.095993	3040.814096	-4253.906911
140	0.875000	0.250000	76.703958	2742.785715	-4037.068779
141	0.937500	0.437500	79.928066	3135.062901	-4827.468576
142	0.812500	0.312500	78.831553	2515.024265	-4316.982282
143	0.937500	0.562500	83.151545	3216.380546	-5519.438270
144	0.875000	0.500000	82.426359	2839.575828	-5177.690516
145	0.812500	0.562500	84.928170	2479.936935	-5497.725922
146	0.812500	0.437500	81.696436	2528.416099	-4865.017890
147	0.812500	0.687500	88.590651	2300.526253	-6250.997695
148	0.750000	0.625000	87.399816	2061.020930	-5755.953740
149	0.750000	0.375000	80.969173	2259.569240	-4581.702365
150	0.937500	0.687500	86.864737	3252.008984	-6421.819480
151	0.937500	0.812500	91.253678	3118.477603	-7753.035494
152	0.875000	0.750000	89.869765	2617.851705	-6888.435970
153	0.937500	0.937500	96.739300	1869.181110	-9687.448069
154	0.812500	0.812500	92.767525	1787.854364	-7029.402515
155	0.687500	0.437500	83.101811	1977.555522	-4819.890023
156	0.687500	0.562500	86.278869	1858.780000	-5355.125425
157	0.625000	0.500000	85.211934	1675.215016	-5020.008240
158	0.687500	0.687500	89.801938	1577.818222	-5860.726196
159	0.562500	0.562500	87.281499	1337.307077	-5129.363063
160	0.812500	0.937500	97.495521	777.540978	-7945.058293
161	0.687500	0.937500	97.851854	431.142996	-6847.074201
162	0.750000	0.875000	95.445995	1058.954083	-7099.205770
163	0.562500	0.937500	98.065524	273.019056	-6175.764375
164	0.687500	0.812500	93.678326	1155.916709	-6472.363939
165	0.437500	0.937500	98.204332	179.598257	-5736.681573
166	0.500000	0.875000	96.298355	432.956077	-5866.435312
167	0.437500	0.812500	94.658834	513.096625	-5592.236371
168	0.562500	0.812500	94.265730	764.664396	-5960.031318
169	0.312500	0.812500	94.919574	331.609578	-5340.067164
170	0.375000	0.750000	93.115078	535.352680	-5351.257160
171	0.625000	0.750000	92.098287	1167.613249	-5988.123999
172	0.312500	0.937500	98.295095	114.910817	-5448.698194
173	0.187500	0.937500	98.350506	64.445613	-5272.615104
174	0.250000	0.875000	96.661214	174.527790	-5311.014188
175	0.562500	0.687500	90.649442	1131.507576	-5599.475749
176	0.437500	0.687500	91.240744	782.251778	-5334.060577
177	0.500000	0.625000	89.294725	1064.259898	-5277.644872
178	0.093750	0.031250	78.019457	237.647101	-3453.258877
179	0.031250	0.031250	78.068873	105.397345	-3481.501003
180	0.156250	0.031250	77.920250	398.070472	-3449.508570
181	0.125000	0.062500	78.521726	319.136534	-3531.987611
182	0.218750	0.031250	77.770510	561.427830	-3443.799450
183	0.156250	0.093750	79.023599	401.294747	-3611.927044
184	0.093750	0.093750	79.123600	266.229740	-3639.954799
